iter	Passed	Remaining
178	216	991
179	218	993
180	219	994
181	222	1000
182	223	997
183	225	999
184	227	1001
185	229	1005
186	232	1011
187	234	1011
188	236	1014
189	238	1017
190	240	1020
191	242	1022
192	245	1024
193	247	1028
194	249	1028
195	251	1031
196	253	1032
197	255	1036
198	257	1037
199	259	1038
200	262	1042
201	264	1044
202	266	1045
203	268	1047
204	270	1050
205	272	1051
206	275	1055
207	277	1056
208	279	1057
209	281	1059
210	283	1060
211	285	1061
212	287	1063
213	289	1064
214	291	1065
215	294	1067
216	296	1068
217	297	1068
218	300	1070
219	302	1072
220	304	1074
221	306	1075
222	309	1076
223	310	1076
224	313	1079
225	315	1080
226	317	1082
227	320	1083
228	321	1084
229	324	1085
230	326	1087
231	328	1087
232	331	1090
233	333	1093
234	336	1095
235	338	1096
236	340	1096
237	342	1097
238	344	1097
239	346	1097
240	348	1096
241	350	1097
242	352	1097
243	354	1097
244	356	1098
245	358	1097
246	359	1097
247	362	1098
248	364	1098
249	366	1098
250	368	1099
251	370	1100
252	372	1099
253	375	1101
254	377	1101
255	379	1101
256	381	1102
257	383	1102
258	385	1102
259	387	1103
260	389	1103
261	391	1103
262	394	1105
263	396	1105
264	398	1105
265	400	1105
266	402	1106
267	405	1107
268	407	1108
269	409	1108
270	412	1109
271	414	1110
272	416	1110
273	419	1110
274	421	1110
275	423	1110
276	425	1110
277	427	1109
278	429	1108
279	431	1108
280	432	1107
281	434	1106
282	436	1105
283	437	1103
284	439	1102
285	441	1101
286	442	1099
287	444	1098
288	445	1095
289	446	1093
290	447	1091
291	449	1089
292	450	1086
293	451	1084
294	452	1081
295	453	1078
296	455	1077
297	456	1074
298	457	1072
299	458	1069
300	459	1067
301	461	1065
302	462	1063
303	463	1061
304	464	1058
305	465	1055
306	466	1052
307	467	1050
308	468	1048
309	469	1045
310	470	1042
311	471	1039
312	472	1036
313	473	1033
314	474	1031
315	475	1029
316	476	1026
317	477	1024
318	478	1021
319	479	1018
320	480	1017
321	482	1015
322	483	1012
323	484	1010
324	485	1008
325	486	1006
326	488	1004
327	489	1002
328	490	999
329	491	997
330	492	995
331	493	993
332	495	991
333	496	989
334	497	987
335	498	986
336	500	984
337	501	982
338	503	980
339	504	978
340	505	977
341	507	975
342	508	973
343	509	972
344	511	971
345	513	969
346	514	968
347	515	965
348	516	963
349	518	962
350	519	960
351	520	958
352	522	956
353	523	954
354	524	953
355	525	951
356	526	949
357	528	947
358	529	945
359	531	944
360	532	942
361	533	940
362	534	938
363	536	936
364	537	935
365	539	933
366	540	932
367	541	930
368	543	929
369	545	928
370	546	927
371	548	925
372	550	924
373	551	923
374	552	921
375	554	919
376	555	918
377	557	917
378	558	915
379	560	914
380	561	913
381	563	911
382	565	910
383	566	908
384	568	908
385	570	906
386	571	905
387	573	904
388	575	903
389	576	902
390	578	900
391	579	899
392	581	898
393	583	896
394	584	895
395	586	895
396	588	893
397	590	892
398	591	891
399	593	890
400	594	888
401	596	887
402	597	885
403	599	884
404	601	883
405	602	881
406	604	880
407	605	878
408	606	877
409	608	875
410	609	873
411	610	871
412	612	870
413	613	868
414	615	867
415	616	865
416	617	863
417	619	862
418	620	860
419	621	858
420	623	857
421	625	856
422	626	854
423	627	853
424	629	851
425	631	850
426	632	848
427	634	847
428	635	845
429	637	844
430	638	843
431	640	841
432	641	840
433	643	838
434	644	837
435	646	836
436	647	834
437	649	833
438	651	832
439	652	830
440	654	829
441	656	828
442	658	827
443	660	826
444	661	825
445	663	824
446	665	823
447	666	821
448	668	820
449	670	819
450	671	817
451	673	816
452	675	815
453	676	813
454	678	812
455	679	811
456	681	810
457	683	808
458	685	807
459	687	806
460	689	806
461	691	805
462	693	804
463	696	804
464	698	803
465	700	802
466	702	801
467	704	800
468	706	799
469	707	798
470	709	796
471	711	795
472	713	795
473	715	794
474	717	793
475	719	792
476	721	791
477	723	789
478	725	788
479	727	787
480	729	786
481	731	785
482	732	784
483	734	783
484	736	781
485	737	780
486	739	779
487	741	777
488	743	776
489	744	775
490	746	773
491	748	772
492	750	771
493	751	770
494	753	768
495	756	768
496	758	767
497	760	766
498	762	765
499	764	764
500	765	762
501	768	762
502	770	761
503	772	760
504	774	759
505	776	758
506	778	757
507	780	756
508	782	755
509	784	754
510	787	753
511	789	752
512	792	751
513	794	750
514	796	750
515	798	748
516	800	747
517	802	746
518	804	745
519	806	744
520	807	742
521	809	741
522	812	740
523	814	739
524	816	738
525	818	737
526	820	736
527	822	734
528	823	733
529	825	732
530	827	731
531	829	730
532	832	729
533	834	728
534	836	727
535	839	726
536	841	725
537	843	724
538	845	723
539	847	722
540	850	721
541	852	720
542	855	719
543	857	718
544	859	717
545	861	716
546	864	715
547	866	714
548	868	713
549	871	712
550	873	711
551	875	710
552	877	709
553	879	708
554	882	707
555	884	706
556	886	705
557	888	704
558	891	702
559	893	701
560	895	700
561	897	699
562	900	698
563	902	697
564	904	696
565	907	695
566	909	694
567	912	693
568	914	692
569	916	691
570	919	690
571	922	689
572	924	688
573	926	687
574	929	686
575	931	685
576	933	684
577	936	683
578	938	682
579	940	681
580	943	680
581	945	679
582	948	678
583	950	677
584	952	675
585	954	674
586	956	673
587	958	671
588	961	670
589	963	669
590	965	667
591	967	666
592	969	665
593	971	663
594	973	662
595	976	661
596	978	660
597	980	659
598	982	657
599	983	655
600	985	654
601	987	652
602	988	650
603	990	649
604	991	647
605	993	645
606	995	644
607	996	642
608	998	641
609	1000	639
610	1002	638
611	1003	636
612	1005	634
613	1007	633
614	1008	631
615	1010	629
616	1012	628
617	1014	627
618	1015	625
619	1018	623
620	1020	622
621	1021	621
622	1023	619
623	1025	617
624	1027	616
625	1029	614
626	1031	613
627	1032	611
628	1034	610
629	1036	608
630	1037	606
631	1039	605
632	1040	603
633	1043	602
634	1044	600
635	1046	598
636	1048	597
637	1049	595
638	1051	594
639	1053	592
640	1055	590
641	1057	589
642	1058	587
643	1060	586
644	1062	584
645	1064	583
646	1066	581
647	1068	580
648	1070	579
649	1072	577
650	1074	576
651	1076	574
652	1077	572
653	1079	571
654	1081	569
655	1083	568
656	1085	566
657	1087	565
658	1089	563
659	1091	562
660	1093	560
661	1095	559
662	1097	557
663	1099	556
664	1101	554
665	1103	553
666	1105	551
667	1107	550
668	1109	548
669	1111	547
670	1113	545
671	1115	544
672	1117	542
673	1119	541
674	1120	539
675	1122	538
676	1124	536
677	1126	535
678	1128	533
679	1130	532
680	1133	530
681	1135	529
682	1137	528
683	1139	526
684	1142	525
685	1144	523
686	1146	522
687	1149	521
688	1151	519
689	1153	518
690	1155	516
691	1158	515
692	1160	513
693	1162	512
694	1164	511
695	1166	509
696	1168	507
697	1170	506
698	1172	504
699	1173	503
700	1176	501
701	1177	499
702	1179	498
703	1180	496
704	1182	494
705	1184	493
706	1185	491
707	1187	489
708	1189	488
709	1190	486
710	1192	484
711	1194	483
712	1195	481
713	1197	479
714	1199	478
715	1201	476
716	1203	474
717	1204	473
718	1206	471
719	1208	470
720	1210	468
721	1212	466
722	1213	465
723	1215	463
724	1217	461
725	1219	460
726	1220	458
727	1222	456
728	1224	455
729	1225	453
730	1228	452
731	1230	450
732	1232	448
733	1233	447
734	1235	445
735	1237	443
736	1239	442
737	1240	440
738	1242	438
739	1244	437
740	1246	435
741	1247	433
742	1249	432
743	1251	430
744	1252	428
745	1254	427
746	1256	425
747	1258	423
748	1259	422
749	1261	420
750	1263	418
751	1264	417
752	1266	415
753	1267	413
754	1269	412
755	1271	410
756	1272	408
757	1274	406
758	1276	405
759	1278	403
760	1279	401
761	1281	400
762	1283	398
763	1284	396
764	1286	395
765	1288	393
766	1289	391
767	1291	390
768	1292	388
769	1294	386
770	1295	384
771	1297	383
772	1299	381
773	1301	380
774	1303	378
775	1305	376
776	1307	375
777	1308	373
778	1310	371
779	1311	370
780	1313	368
781	1314	366
782	1316	364
783	1317	362
784	1318	361
785	1319	359
786	1320	357
787	1321	355
788	1323	353
789	1324	352
790	1325	350
791	1326	348
792	1327	346
793	1328	344
794	1329	342
795	1331	341
796	1332	339
797	1333	337
798	1334	335
799	1336	334
800	1337	332
801	1339	330
802	1340	328
803	1341	327
804	1343	325
805	1344	323
806	1346	321
807	1347	320
808	1349	318
809	1350	316
810	1351	315
811	1352	313
812	1354	311
813	1355	309
814	1356	308
815	1358	306
816	1359	304
817	1360	302
818	1362	301
819	1363	299
820	1364	297
821	1365	295
822	1367	294
823	1368	292
824	1369	290
825	1370	288
826	1372	287
827	1373	285
828	1374	283
829	1376	281
830	1378	280
831	1379	278
832	1381	276
833	1382	275
834	1384	273
835	1385	271
836	1387	270
837	1388	268
838	1390	266
839	1391	265
840	1393	263
841	1395	261
842	1396	260
843	1398	258
844	1400	256
845	1401	255
846	1403	253
847	1405	251
848	1407	250
849	1408	248
850	1410	246
851	1412	245
852	1413	243
853	1415	242
854	1417	240
855	1419	238
856	1421	237
857	1422	235
858	1424	233
859	1426	232
860	1428	230
861	1430	229
862	1432	227
863	1434	225
864	1436	224
865	1438	222
866	1439	220
867	1441	219
868	1442	217
869	1444	215
870	1446	214
871	1447	212
872	1449	210
873	1451	209
874	1452	207
875	1454	205
876	1455	204
877	1457	202
878	1458	200
879	1460	199
880	1461	197
881	1463	195
882	1465	194
883	1466	192
884	1468	190
885	1470	189
886	1471	187
887	1473	185
888	1475	184
889	1476	182
890	1478	180
891	1479	179
892	1481	177
893	1483	175
894	1484	174
895	1486	172
896	1487	170
897	1488	169
898	1490	167
899	1491	165
900	1493	164
901	1494	162
902	1496	160
903	1497	159
904	1499	157
905	1501	155
906	1503	154
907	1504	152
908	1506	150
909	1508	149
910	1509	147
911	1511	145
912	1513	144
913	1516	142
914	1517	140
915	1519	139
916	1521	137
917	1523	136
918	1525	134
919	1527	132
920	1529	131
921	1531	129
922	1533	127
923	1534	126
924	1536	124
925	1538	122
926	1540	121
927	1542	119
928	1544	118
929	1546	116
930	1548	114
931	1550	113
932	1552	111
933	1554	109
934	1556	108
935	1558	106
936	1560	104
937	1563	103
938	1565	101
939	1567	100
940	1569	98
941	1570	96
942	1572	95
943	1574	93
944	1576	91
945	1578	90
946	1579	88
947	1582	86
948	1583	85
949	1585	83
950	1587	81
951	1589	80
952	1591	78
953	1593	76
954	1595	75
955	1596	73
956	1598	71
957	1600	70
958	1602	68
959	1604	66
960	1606	65
961	1607	63
962	1609	61
963	1611	60
964	1613	58
965	1615	56
966	1617	55
967	1618	53
968	1620	51
969	1622	50
970	1624	48
971	1626	46
972	1628	45
973	1629	43
974	1631	41
975	1633	40
976	1635	38
977	1636	36
978	1638	35
979	1640	33
980	1641	31
981	1643	30
982	1645	28
983	1646	26
984	1648	25
985	1649	23
986	1651	21
987	1652	20
988	1654	18
989	1656	16
990	1658	15
991	1659	13
992	1661	11
993	1663	10
994	1664	8
995	1666	6
996	1668	5
997	1670	3
998	1672	1
999	1673	0
